Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2025-03-03,237.4487762451172,243.43412542285543,235.53346633482454,241.19958958341564,47184000
1,2025-03-04,235.35391235351562,239.4838181516717,234.10696453181083,237.1295800554318,53798100
2,2025-03-05,235.1643829345703,235.97240266650644,228.67026910680244,234.84515699420854,47227600
3,2025-03-06,234.75538635253906,237.27920752401755,232.59068676229822,233.86756011302523,45170400
4,2025-03-07,238.4862518310547,240.78062356819368,234.1867631010968,234.53591456798168,46273600
5,2025-03-10,226.92454528808594,235.583358769024,223.6725108894593,234.96486230654432,72071200
6,2025-03-11,220.30076599121094,225.2885573705892,216.91904404485373,223.26351528828414,76137400
7,2025-03-12,216.45018005371094,221.20853706339403,214.38524243690583,219.60246770742089,62547500
8,2025-03-13,209.1680145263672,216.31053552178076,207.9110965632093,215.4227092543014,61368300
9,2025-03-14,212.96871948242188,213.42758776028128,209.06826301296118,210.7341834889886,60107600
10,2025-03-17,213.4774627685547,214.69448503570536,209.4573042902151,212.78914514941675,48073400
11,2025-03-18,212.170654296875,214.62463892519543,210.97358751075308,213.63706605687162,42432400
12,2025-03-19,214.7144317626953,218.22582565599035,213.22806456968678,213.6969181399133,54385400
13,2025-03-20,213.5772247314453,216.9589465476154,211.70181037410745,213.46749271646212,48862900
14,2025-03-21,217.73703002929688,218.30563028145062,210.764092813104,211.04340788811464,94127800
15,2025-03-24,220.19102478027344,220.93919345594836,218.04628066528426,220.460369765545,44299500
16,2025-03-25,223.2036590576172,223.55281053469957,219.54262209652958,220.23093972638688,34493600
17,2025-03-26,220.9890594482422,224.47054292972726,219.93165022699972,222.96422035625233,34466100
18,2025-03-27,223.30340576171875,224.4406214835582,220.0214308095873,220.84940592957574,37094800
19,2025-03-28,217.36793518066406,223.26350805320467,217.1484711493609,221.12873402087155,39818600
20,2025-03-31,221.58761596679688,225.06908447075043,215.7020132379398,216.48010744476517,65299300
